Month,Hour,wind,pv
10,2,0.041399424,10.61355372
10,3,0.457419312,30.72342805
10,4,0.956832768,48.34614812
10,5,1.186906752,64.18724353
10,6,1.554315984,74.28054346
10,7,2.117682,77.47163785
10,8,2.619568368,69.50036601
10,9,2.740919472,58.05559874
10,10,2.501852976,43.03324069
10,11,2.223107856,29.84627434
10,12,1.277242992,14.57396858
10,13,0.429981696,2.06806986
10,14,0.395136,0
10,15,0.439002,0
10,16,0.546683904,0
10,17,0.623627568,0
10,18,0.635175936,0
10,19,0.589824,0
10,20,0.546683904,0
10,21,0.515747088,0
10,22,0.486,0
10,23,0.412313472,0
10,0,0.323725104,0
10,1,0.202309632,0.15243165
10,2,0.207777168,14.5902817
10,3,0.798513552,47.05371466
10,4,1.471437072,76.14486289
10,5,2.117682,89.79039718
10,6,2.802975696,95.10451341
10,7,3.772522512,94.48592153
10,8,4.807619712,86.75684292
10,9,5.560483968,75.7089285
10,10,5.413734,57.06200371
10,11,4.543847424,37.90874314
10,12,2.929884048,18.90972109
10,13,0.941645232,2.5195118
10,14,1.117784448,0
10,15,1.391557968,0
10,16,1.618477056,0
10,17,1.798152192,0
10,18,1.662217344,0
10,19,1.277242992,0
10,20,0.926619264,0
10,21,0.635175936,0
10,22,0.395136,0
10,23,0.236596608,0
10,0,0.144,0
10,1,0.115827408,0.12128139
10,2,0.316368,13.96095032
10,3,1.431126,45.17090329
10,4,1.729294416,75.5528634
10,5,1.533312,99.68805357
10,6,1.391557968,111.8361395
10,7,1.554315984,112.6858377
10,8,1.845058176,99.3698743
10,9,2.277108144,84.87404204
10,10,2.929884048,64.26648535
10,11,3.333474,39.59981544
10,12,3.772522512,18.041057
10,13,2.444341392,2.403819648
10,14,3.027538944,0
10,15,4.045602816,0
10,16,4.331553264,0
10,17,4.674493296,0
10,18,4.587121872,0
10,19,3.622141008,0
10,20,2.223107856,0
10,21,1.258821504,0
10,22,0.882502128,0
10,23,0.812124288,0
10,0,0.670674672,0
10,1,0.403663824,0.10794609
10,2,0.294967152,12.58357657
10,3,0.941645232,41.17215349
10,4,2.649563136,71.13658453
10,5,4.005810288,89.81995932
10,6,4.762967184,98.28336379
10,7,5.317349328,97.93043411
10,8,5.659776,89.41007035
10,9,5.709862224,75.02827323
10,10,5.659776,56.65066197
10,11,5.035072752,36.62729934
10,12,3.195077904,16.20852385
10,13,1.533312,2.050948614
10,14,1.554315984,0
10,15,1.990656,0
10,16,2.117682,0
10,17,1.821504528,0
10,18,1.117784448,0
10,19,0.695060496,0
10,20,0.486,0
10,21,0.448147584,0
10,22,0.476344656,0
10,23,0.525926016,0
10,0,0.557264592,0
10,1,0.567980928,0.081719847
10,2,1.067742,9.875123264
10,3,1.821504528,30.55031015
10,4,1.798152192,55.86570051
10,5,0.972182736,76.73753106
10,6,0.301989888,97.74397032
10,7,0.127401984,105.0383463
10,8,0.248832,99.61821297
10,9,0.546683904,85.39424439
10,10,0.853882704,68.35375023
10,11,1.100933712,42.59929737
10,12,0.897048576,20.30915686
10,13,0.578833776,2.68685616
10,14,0.646866,0
10,15,0.720030384,0
10,16,0.695060496,0
10,17,0.536238,0
10,18,0.362225664,0
10,19,0.207777168,0
10,20,0.079396992,0
10,21,0.009216,0
10,22,0.000839808,0
10,23,0.053747712,0
10,0,0.219006,0
10,1,0.476344656,0.141800376
10,2,1.64025,18.73582324
10,3,4.045602816,60.57896752
10,4,7.839351216,101.7258863
10,5,10.21794394,128.5237757
10,6,11.77149658,144.5707677
10,7,13.03471426,146.7988802
10,8,13.92517138,137.8008815
10,9,14.57203622,122.3904524
10,10,15.53042534,91.38999549
10,11,15.53042534,59.48401962
10,12,9.216,25.82187863
10,13,2.649563136,3.260615079
10,14,2.196430848,0
10,15,2.223107856,0
10,16,2.143718784,0
10,17,2.066242608,0
10,18,2.015643024,0
10,19,1.892772864,0
10,20,1.798152192,0
10,21,1.798152192,0
10,22,1.775000304,0
10,23,1.775000304,0
10,0,1.868814,0
10,1,1.798152192,0.119883303
10,2,4.500846,17.09322767
10,3,8.026987392,55.33639034
10,4,12.35032142,96.81043649
10,5,13.74393499,133.1706811
10,6,14.76046541,159.1292493
10,7,16.0249883,171.4312032
10,8,17.14975027,168.0056124
10,9,18.545418,146.89154
10,10,19.78388582,110.6583245
10,11,19.32735283,72.74299145
10,12,12.01729723,30.35218864
10,13,4.630670208,3.850222841
10,14,4.500846,0
10,15,4.248522576,0
10,16,3.888,0
10,17,3.696822,0
10,18,3.734544384,0
10,19,3.772522512,0
10,20,3.734544384,0
10,21,3.772522512,0
10,22,3.966279552,0
10,23,4.005810288,0
10,0,3.772522512,0
10,1,3.659354496,0.058606912
10,2,5.609983536,8.668485375
10,3,7.777461888,27.38089085
10,4,12.09998477,39.29084523
10,5,17.14975027,47.30682034
10,6,18.43546522,58.96869844
10,7,18.545418,67.85337644
10,8,18,69.54688612
10,9,17.25453461,62.18493019
10,10,14.950512,50.52210212
